# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 14:05:20 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 50.6488549618% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 55.4678247138% of the time at utterance end.  This may not be optimal.
Overall, e_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.8,38) frames.
Overall, ɔ̃_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,20) frames.
Overall, m_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, j_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,15) frames.
Overall, dd_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,13) frames.
Overall, oo_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,17) frames.
Overall, ɑ̃_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,19) frames.
Overall, d_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,14) frames.
Overall, an_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.7,31) frames.
Overall, v_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,18) frames.
Overall, b_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, zz_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,20) frames.
The optional-silence phone SIL occupies 26.7% of frames overall 
Limiting the stats to the 77.6% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 12.4% of frames.
Assuming 100 frames per second, the alignments represent 2.0 hours of data, or 1.5 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 3.9% of utterance-internal phones, with duration (median, mean, 95-percentile) = (22,30.7,89)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Mar 12 14:05:20 CET 2021, elapsed time 0 seconds
